"","8_0149.leaf","8_0157.leaf","8_0158.leaf","8_0160.leaf","8_0162.leaf","8_0167.leaf","8_0171.leaf","8_0174.leaf","8_0302.leaf","8_0307.leaf","8_0318.leaf","8_0326.leaf","8_0327.leaf","8_0328.leaf","8_0330.leaf","8_0580.leaf","8_0589.leaf","8_0593.leaf","8_0606.leaf","8_0608.leaf","8_0609.leaf","8_0612.leaf","8_0617.leaf","8_0773.leaf","8_0775.leaf","8_0776.leaf","8_0790.leaf","8_0803.leaf","8_1012.leaf","8_1013.leaf","8_1023.leaf","8_1032.leaf","8_1043.leaf","8_1047.leaf","8_1048.leaf","8_1361.leaf","8_1370.leaf","8_1377.leaf","8_1378.leaf","8_1382.leaf","8_1384.leaf","8_1388.leaf","8_1389.leaf","9_0155.leaf","9_0159.leaf","9_0161.leaf","9_0169.leaf","9_0171.leaf","9_0179.leaf","9_0191.leaf","9_0290.leaf","9_0292.leaf","9_0298.leaf","9_0302.leaf","9_0305.leaf","9_0330.leaf","9_0334.leaf","9_0580.leaf","9_0583.leaf","9_0588.leaf","9_0589.leaf","9_0590.leaf","9_0599.leaf","9_0769.leaf","9_0775.leaf","9_0776.leaf","9_0781.leaf","9_0789.leaf","9_0799.leaf","9_0802.leaf","9_0804.leaf","9_1014.leaf","9_1027.leaf","9_1041.leaf","9_1043.leaf","9_1046.leaf","9_1047.leaf","9_1354.leaf","9_1355.leaf","9_1356.leaf","9_1358.leaf","9_1364.leaf","9_1370.leaf","9_1382.leaf","JAM_3C.leaf","JAM_E1.leaf","JAM_E3.leaf","JAM_E4.leaf","8_0149.root","8_0157.root","8_0158.root","8_0160.root","8_0162.root","8_0167.root","8_0171.root","8_0174.root","8_0302.root","8_0307.root","8_0318.root","8_0326.root","8_0327.root","8_0328.root","8_0330.root","8_0580.root","8_0589.root","8_0593.root","8_0606.root","8_0608.root","8_0609.root","8_0612.root","8_0617.root","8_0773.root","8_0775.root","8_0776.root","8_0790.root","8_0803.root","8_1012.root","8_1013.root","8_1023.root","8_1032.root","8_1043.root","8_1047.root","8_1048.root","8_1361.root","8_1370.root","8_1377.root","8_1378.root","8_1382.root","8_1384.root","8_1388.root","8_1389.root","9_0155.root","9_0159.root","9_0161.root","9_0169.root","9_0171.root","9_0179.root","9_0191.root","9_0290.root","9_0292.root","9_0298.root","9_0302.root","9_0305.root","9_0330.root","9_0334.root","9_0580.root","9_0583.root","9_0588.root","9_0589.root","9_0590.root","9_0599.root","9_0769.root","9_0775.root","9_0776.root","9_0781.root","9_0789.root","9_0799.root","9_0802.root","9_0804.root","9_1014.root","9_1027.root","9_1041.root","9_1043.root","9_1046.root","9_1047.root","9_1354.root","9_1355.root","9_1356.root","9_1358.root","9_1364.root","9_1370.root","9_1382.root","JAM_3C.root","JAM_E1.root","JAM_E3.root","JAM_E4.root"
"OTU_2924",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,3,4,0,7,0,0,5,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,25,2,0,0,0,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,3,4,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,0,0,0,0,1,2,1,0,1,0,0,6,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"OTU_2926",0,0,0,0,0,0,15,27,17,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,26,10,0,8,0,0,0,0,5,5,1,0,0,1,8,33,0,0,55,8,0,0,0,0,0,0,5,0,0,4,0,0,0,68,0,0,0,11,0,0,9,0,0,1,2,0,0,0,4,0,0,0,0,4,0,0,5,1,1,2,0,0,0,3,0,0,9,3,0,0,6,0,0,0,0,0,1,0,0,14,3,3,1,7,0,0,0,0,4,0,0,0,0,0,5,1,0,1,2,0,1,0,1,6,0,3,3,0,0,0,0,0,0,0,27,0,6,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,11,0,1,0,6,0,0,0,0
"OTU_2927",0,0,3,2,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,6,57,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,2,0,0,1,1,1,4,0,1,0,2,0,9,0,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22,8,27,0,0,5,0,0,0,0,0,5,0,1,0,8,2,0,1,3,11,1,0,1,0,0,2,0,1,1,0,6,1,0,0,9,3,6,0,0,0,0,0,0,1,4,0,0,4,0,0,0,1,0,0,0,0,0,6,4,2,0,0,2,0,0,0,2,0,3,0,0,0,6,4,0,2,0,0,2,0,0,0,0,19,0,0,0,2,4,0,0,0,0,0,0,0,5,0,0
"OTU_2941",8,0,0,10,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,2,0,0,0,4,0,1,0,0,0,0,6,0,2,0,16,0,0,1,0,0,2,0,1,0,3,5,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,2,0,0,0,1,0,1,0,0,2,0,0,0,1,0,4,0,0,0,2,12,0,0,0,1,0,2,16,1,0,1,0,3,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,2,0
"OTU_2944",0,4,0,0,0,0,29,0,0,0,7,0,3,0,2,0,15,24,0,0,19,0,0,6,0,0,11,2,0,9,0,0,0,2,0,0,0,2,0,13,0,0,3,0,0,0,1,14,0,0,0,15,0,2,0,0,1,14,0,0,31,3,1,0,0,0,0,0,0,14,0,11,0,3,1,0,1,7,13,3,4,10,0,15,0,0,0,0,0,13,0,0,17,0,12,0,1,16,0,5,11,0,0,0,3,0,1,0,5,2,0,29,11,24,0,0,0,4,0,0,0,3,7,1,19,14,0,0,12,21,10,0,1,2,41,5,11,0,0,6,0,0,3,5,1,11,1,0,0,0,21,0,4,0,2,0,0,0,0,0,0,0,0,0,18,0,0,3,1,0,0,0,0,3,23,0
"OTU_2947",0,0,0,0,0,0,0,1,0,0,0,6,4,11,0,0,2,4,0,2,2,2,1,0,0,0,3,0,0,2,0,8,0,5,0,0,0,3,0,11,0,0,1,10,0,21,3,2,0,0,0,5,0,0,0,0,10,2,0,0,4,0,0,0,0,0,1,0,0,0,3,4,0,14,0,1,4,0,11,0,11,0,0,0,0,0,8,2,0,14,0,3,15,0,0,0,6,2,0,1,0,0,0,0,0,10,2,5,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,4,6,0,0,30,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,2,0,0,1,1,6,0,0,11,0,0,0,0,0,11,5,0,0,0,0,4,0,0,1,8,0
"OTU_2948",0,0,4,0,0,0,2,2,0,1,1,20,0,0,0,0,0,0,3,0,0,0,11,0,0,2,0,0,0,0,2,0,0,27,0,3,2,5,1,2,0,2,0,63,2,99,1,0,0,0,0,0,0,56,0,0,5,0,0,0,2,0,1,0,0,4,0,1,0,0,0,0,2,1,0,0,51,0,3,0,0,0,3,0,0,0,0,1,0,0,0,30,1,0,1,0,5,0,0,0,0,0,4,0,0,47,0,12,1,0,1,0,0,0,2,21,1,3,3,0,2,0,0,1,1,1,0,0,0,11,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,0,1,4,0,2,4,0,35,0,0,6,5,0,0,1,0,3,0,0,6,0,0,0,0,0
"OTU_2949",1,0,0,0,0,0,0,0,0,0,2,0,55,0,2,3,7,7,0,0,2,0,1,10,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,4,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,68,0,0,6,0,2,0,0,0,5,0,1,0,0,1,0,0,0,4,14,0,2,0,0,0,0,9,0,0,0,0,1,0,18,3,19,0,0,0,12,0,0,0,0,2,23,7,1,0,6,8,1,1,0,0,0,7,0,8,0,0,5,0,0,19,11,0,0,0,0,0,1,51,0,3,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
"OTU_2952",1,4,2,0,0,0,2,0,0,0,3,0,5,0,5,0,1,1,0,0,3,0,0,5,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,5,0,0,12,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,0,2,0,1,1,2,0,0,0,1,0,3,0,0,1,2,1,0,0,2,0,0,8,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,2,0,0,0,2,2,0,4,6,0,2,7,6,1,0,5,0,0,0,6,0,0,5,0,0,2,1,4,5,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"OTU_2953",0,0,4,0,0,2,0,2,2,0,0,5,0,0,0,9,0,0,0,0,0,9,0,0,2,0,0,0,0,0,11,5,0,16,4,0,34,8,0,0,0,9,4,5,0,10,182,0,0,0,0,0,0,0,0,4,9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,12,0,0,5,0,2,0,0,0,11,0,0,1,0,15,0,0,1,0,0,1,0,0,26,0,20,0,0,0,0,0,0,0,8,0,0,0,0,3,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,8,7,7,1,0,0,1,0,0,0,74,0,21,5,0,58,0,0,0,5,0,0,2,1,4,0,0,0,0,0,0,0,0
"OTU_2954",0,0,1,0,0,0,17,0,1,0,0,1,0,0,1,0,0,0,0,4,0,11,13,0,0,3,0,0,0,0,6,5,0,9,0,9,22,7,0,2,0,6,3,4,0,47,20,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,106,0,0,2,0,0,4,0,0,0,0,3,3,0,0,3,0,0,1,0,50,0,0,0,0,0,4,0,0,11,0,16,3,1,4,0,0,0,0,7,0,15,0,0,0,6,0,2,0,0,0,0,0,15,0,0,7,1,0,1,4,0,0,5,0,0,1,1,1,0,0,0,0,7,0,0,0,10,0,48,4,0,33,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
"OTU_2958",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13,3,0,0,3,0,0,0,0,1,0,0,8,0,6,6,51,1,3,0,6,7,6,5,9,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,14,0,0,0,0,0,4,0,0,10,0,4,2,1,0,0,3,0,2,1,0,0,0,0,0,9,0,0,0,0,3,0,0,4,0,0,13,1,1,1,0,0,0,5,1,0,0,4,0,11,0,0,0,4,1,0,0,0,0,71,0,0,9,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,5,0
"OTU_2960",0,0,1,5,0,0,1,0,0,0,0,0,15,0,1,0,2,3,0,0,4,4,0,1,0,0,1,1,0,2,1,0,0,1,0,2,7,3,0,0,0,14,7,0,0,5,7,0,0,0,0,4,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,13,3,0,0,0,0,1,2,0,0,0,0,0,0,15,16,0,0,1,0,4,0,2,7,0,6,8,0,0,0,27,0,0,0,0,2,0,0,0,3,1,0,0,5,0,0,4,2,0,0,3,0,3,9,4,0,0,4,0,0,0,1,9,0,0,0,0,5,1,0,0,3,7,15,0,0,14,0,12,0,0,0,0,2,0,15,0,0,0,0,0,14,14,0
"OTU_2961",0,0,0,7,0,0,1,0,0,0,2,1,0,5,3,0,5,4,0,0,0,0,0,2,1,0,2,8,0,2,0,0,0,1,2,0,0,11,0,3,0,0,0,0,0,1,0,4,2,0,0,0,13,0,0,0,6,2,3,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,8,0,6,2,3,2,0,0,1,5,0,1,0,2,4,0,0,10,2,3,0,0,0,0,0,0,4,2,0,2,0,1,0,10,1,3,0,0,0,0,0,0,0,0,0,2,1,2,4,3,0,1,6,5,1,0,11,0,0,0,0,0,0,0,0,2,0,5,2,0,0,2,0,0,0,1,0,0,1,0,1,0,15,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0
"OTU_2969",0,1,0,0,0,0,0,0,5,0,2,3,7,0,0,0,0,0,0,0,7,15,0,0,0,2,8,0,0,0,2,0,0,1,0,0,42,0,0,0,0,9,0,1,1,0,11,0,0,2,0,8,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,2,1,0,0,0,1,35,0,0,0,0,0,0,1,0,9,0,0,11,0,15,10,0,0,1,0,0,0,3,8,0,0,4,0,0,1,6,5,0,0,0,0,0,0,0,2,3,0,0,13,0,0,6,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,16,0,0,0,0,2,0,0,1,8,0,5,0,0,11,0,0,0,0,0,50,0,0,7,0,0,0,1,0,5,0,0
"OTU_2976",0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0,4,1,2,0,0,0,0,0,0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,2,4,0,1,0,4,0,0,0,1,0,0,0,1,2,3,0,0,0,1,0,8,1,4,6,6,4,0,6,0,0,0,6,0,5,1,0,6,3,0,0,0,4,0,5,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_2977",0,9,0,2,0,4,0,0,0,2,0,0,0,1,0,9,2,0,0,0,1,0,0,0,3,0,1,0,7,1,1,7,0,0,13,0,0,0,1,1,2,0,1,0,0,2,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,5,0,0,0,1,0,6,0,0,4,0,0,0,0,10,0,0,0,0,0
"OTU_2993",0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,26,1,0,0,2,2,0,2,0,0,2,0,0,4,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,3,0,0,0,1,0,5,0,0,0,1,0,0,2,0,5,0,0,8,0,0,1,0,1,0,6,4,1,0,0,0,1,0,1,0,0,1,0,1,0,2,1,0,7,1,0,0,0,3,0,0,0,4,0,0,14,1,5,0,0,0,2,0,0,0,5,1,0,11,2,0,0,5,3,0,0,1,7,1,3,0,0,0,1,0,0,1,0,3,1,0,0,0,0,10,0,1,1,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0
"OTU_2997",0,5,2,0,0,0,3,0,0,0,5,0,20,0,4,1,1,3,0,0,42,11,0,5,0,0,13,0,0,67,0,0,0,1,0,0,0,2,0,13,0,7,0,10,0,7,0,39,1,0,0,45,0,6,0,0,6,9,0,0,79,0,8,0,0,0,0,0,0,2,0,11,0,8,8,0,0,0,7,1,1,9,13,4,0,0,0,3,0,77,0,0,6,0,10,0,9,33,0,9,3,0,12,0,2,1,1,0,16,7,0,22,19,9,0,3,0,5,0,0,0,0,4,4,2,5,0,0,5,5,1,0,3,1,19,10,13,0,0,24,0,0,8,0,8,4,0,0,0,0,19,0,3,0,2,2,0,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,31,10,0
"OTU_3001",23,33,0,0,0,0,15,0,0,0,30,0,0,0,26,0,3,1,0,0,0,13,0,28,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,16,0,0,0,51,1,26,0,1,0,0,4,0,0,0,7,1,0,0,0,39,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,67,0,0,1,36,0,5,0,3,0,4,0,0,1,0,16,0,1,0,0,0,30,0,2,0,0,0,0,0,2,30,0,4,0,0,0,0,0,26,0,0,0,8,12,12,1,2,0,11,0,12,5,0,38,20,0,17,23,0,0,10,3,0,44,0,9,5,1,0,0,0,1,0,13,17,0,6,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0
"OTU_3003",0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,1,4,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,2,0,3,2,0,1,0,0,0,14,6,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,6,0,0,3,0,4,0,0,0,0,8,2,0,3,0,0,0,0,0,2,1,0,13,2,1,0,0,0,2,0,0,0,6,0,0,3,1,0,0,2,2,4,0,1,10,3,2,0,0,0,1,0,0,0,1,1,17,0,0,0,0,6,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"OTU_3005",3,6,0,0,0,0,9,0,0,0,8,0,1,0,7,0,2,2,0,0,2,8,0,9,0,0,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,4,6,0,0,6,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,3,0,0,2,0,2,0,2,3,7,0,0,2,5,0,0,0,4,3,0,6,0,11,0,0,0,34,0,12,0,0,0,0,0,11,6,0,4,0,0,0,0,0,1,0,0,0,12,3,8,4,0,0,1,0,9,3,0,10,5,7,4,8,0,0,18,0,0,12,9,5,8,0,0,0,0,3,0,12,4,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,2,4,0
"OTU_3007",3,15,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,2,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,14,2,15,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,35,0,1,0,1,0,0,0,1,0,0,0,0,3,0,1,0,4,0,0,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,1,5,0,0,8,0,0,1,0,9,9,0,5,2,0,0,3,0,0,8,2,1,3,1,0,0,0,3,0,9,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_3031",0,0,0,5,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,6,0,0,0,11,0,7,0,0,3,0,4,2,22,0,0,0,2,0,2,0,0,0,2,0,6,0,8,0,0,0,12,0,0,0,0,37,1,6,0,1,0,0,3,0,2,0,0,0,3,1,2,0,2,0,0,6,3,8,0,17,3,1,0,1,0,10,1,0,11,3,3,14,0,0,8,1,5,0,0,0,0,0,0,2,6,6,30,0,0,0,7,5,4,0,0,0,0,0,0,0,0,0,0,0,6,7,0,4,0,0,2,0,0,11,0,0,0,0,0,0,0,0,1,0,5,7,0,0,0,2,0,0,3,0,0,6,0,12,0,0,0,0,0,3,3,0,0,2,0,0,0,0,2,4,0
"OTU_3040",2,5,0,0,0,0,2,0,2,0,1,0,0,0,6,0,3,7,0,0,2,2,0,15,0,3,3,2,0,6,0,0,0,0,0,0,0,6,1,3,0,1,0,0,0,0,2,6,6,0,0,3,0,0,0,0,5,8,2,0,6,0,2,1,0,0,0,0,0,4,0,3,0,8,0,0,0,0,1,7,1,4,2,1,2,0,0,6,0,13,8,0,2,0,3,0,2,8,0,3,3,0,2,0,0,5,0,3,3,1,0,16,4,2,0,0,0,3,0,0,0,5,0,2,7,2,0,2,3,0,1,0,4,2,6,4,3,0,0,12,0,0,0,1,0,8,1,0,0,0,8,0,2,3,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,3,0,0,3,7,0
"OTU_3044",0,0,1305,4,1,7,2,2,4,0,2,83,0,1,0,0,0,0,94,0,0,0,129,0,0,7,0,3,0,0,63,4,0,27,5,1,3,0,103,0,885,0,0,44,4,64,0,0,0,6,211,0,0,0,41,12,0,0,0,1,0,0,0,0,4,59,10,70,7,0,0,0,5,6,3,9,313,0,0,0,5,0,0,0,0,0,9,0,9,0,0,28,1,44,0,0,0,0,24,0,0,0,0,0,0,7,4,105,2,0,37,0,1,0,0,27,0,1,42,50,26,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,9,54,1,16,0,0,0,0,0,0,116,0,16,2,10,0,0,0,0,160,0,210,0,0,15,174,13,0,0,1,1,0,18,61,4,0,0,0,120
"OTU_3045",10,1393,2,0,0,0,99,2,22,0,260,13,5,0,788,0,11,55,4,7,26,19,2,1713,0,60,9,2,0,44,8,5,0,75,4,0,6,8,0,19,0,19,31,76,10,25,108,28,720,3,0,14,0,88,0,0,0,42,2,0,40,0,300,0,0,0,1,0,2,23,0,17,0,12,13,23,42,8,41,2115,1,10,9,783,0,0,0,301,14,7,0,8,25,0,407,0,160,5,0,20,67,1,46,4,10,81,0,27,406,408,1,7,19,11,1,4,1,577,2,0,3,5,487,915,12,64,0,37,6,938,64,0,1114,1994,40,31,48,0,0,44,1,0,1899,13,211,21,4,0,0,77,56,0,6,48,7,59,0,0,22,0,14,0,9,1,32,4,0,111,0,5,0,0,0,2,23,0
"OTU_3046",0,0,1,11,0,0,1,0,9,0,0,0,1,0,0,0,0,2,0,0,1,4,0,0,4,8,1,6,0,0,3,0,0,5,3,2,0,18,0,9,0,1,0,0,1,20,2,11,0,1,0,15,0,17,0,0,33,2,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,6,0,6,12,2,8,0,0,0,0,0,0,0,0,9,0,1,8,3,5,0,0,0,17,5,0,0,0,0,2,0,3,3,1,7,0,0,0,2,5,7,0,0,0,0,0,0,0,16,0,0,0,11,2,0,10,0,0,0,0,0,20,1,0,0,0,0,0,0,0,10,0,46,4,0,1,69,1,0,0,6,0,21,2,0,22,0,12,0,5,0,3,3,0,30,0,0,0,0,0,4,6,0
"OTU_3050",0,4,0,0,0,0,4,0,0,0,11,0,0,0,16,10,2,5,0,0,1,0,0,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,0,0,3,2,0,0,0,18,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,11,3,1,0,10,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,3,8,0,4,0,0,0,0,0,5,4,0,7,4,0,0,0,0,4,0,0,0,0,6,3,3,1,0,1,2,5,4,0,9,3,5,2,4,0,0,3,0,0,26,1,0,1,5,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"OTU_3051",0,2,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,1,0,1,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,2,2,0,3,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,2,0,2,0,0,3,0,3,1,1,0,0,0,0,0,5,0,1,0,0,0,4,0,1,0,0,0,0,0,2,0,0,4,2,0,2,1,0,0,5,0,0,13,0,4,0,0,0,0,4,0,0,3,4,0,3,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_3054",0,4,0,0,0,0,1,0,0,0,0,0,7,0,1,0,2,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0,0,10,0,0,1,0,1,0,1,3,3,0,0,0,2,0,5,0,0,4,0,2,0,0,1,0,1,0,0,0,0,8,0,0,0,2,1,0,4,0,1,0,0,0,2,0,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,2,0,1,1,0,0,0,0,7,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0
"OTU_3058",8,2,0,0,0,0,2,0,0,0,1,0,0,3,4,0,3,2,0,0,0,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,2,0,3,0,0,0,2,0,5,0,0,6,0,4,0,0,0,0,4,0,0,2,0,0,0,3,0,2,2,0,0,0,0,0,0,0,3,0,0,0,1,0,6,1,0,0,1,0,7,3,0,4,8,1,2,1,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"OTU_3062",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,405,7,10,0,0,0,0,2,0,33,0,0,0,54,0,0,0,0,0,0,0,0,0,0,10,0,7,1,0,0,0,0,24,0,1,0,0,1,1,3,4,26,0,1,27,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,4,0,13,49,0,13,0,3,0,0,0,3,1,109,0,1,1,3,0,0,2,0,0,43,0,0,0,0,18,2,0,0,0,2,0,426,0,0,0,0,0,0,2,0,0,0,0,1,379,0,0,44,0,0,10,1,1,2,1,0,16,0,66,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,18,0,277,0,0,0,0,0,0,0,0,0,0,8,0
"OTU_3064",0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,8,0,0,1,0,0,0,5,0,0,0,0,3,0,0,7,0,0,2,6,0,0,0,3,3,5,0,36,1,0,0,3,16,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,43,0,2,0,0,0,1,9,0,0,1,0,0,0,0,18,7,0,6,2,2,0,0,0,1,1,13,0,0,12,0,2,3,0,0,0,0,0,1,5,0,2,0,5,4,0,0,1,0,0,0,0,0,1,1,2,2,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,7,0,1,0,3,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
